7,4,26,19,8
12,4,26,12,0
2,7,8,13,4
26,1,24,26,7
26,6,26,22,4
11,11,18,26,8
26,19,7,4,26
19,8,12,4,26
19,17,0,21,4
11,11,4,17,26
5,14,17,26,18
14,26,8,19,26
22,8,11,11,26
1,4,26,2,14
13,21,4,13,8
4,13,19,26,19
14,26,18,15,4
0,10,26,14,5
26,7,8,12,26
22,0,18,26,4
23,15,14,20,13
3,8,13,6,26
0,26,17,4,2
14,13,3,8,19
4,26,12,0,19
19,4,17,26,19
14,26,20,18,26
7,8,18,26,6
17,4,24,26,4
24,4,18,26,18
7,14,13,4,26
0,13,3,26,19
22,8,13,10,11
4,3,26,0,13
3,26,7,8,18
26,20,18,20,0
11,11,24,26,15
0,11,4,26,5
0,2,4,26,22
0,18,26,5,11
20,18,7,4,3
26,0,13,3,26
0,13,8,12,0
19,4,3,26,19
7,4,26,5,8
17,4,26,1,20
17,13,4,3,26
1,17,8,6,7
19,11,24,26,0
13,3,26,19,7
4,26,18,14,5
19,26,17,0,3
8,0,13,2,4
26,14,5,26,19
7,4,26,8,13
2,0,13,3,4
18,2,4,13,19
26,11,8,6,7
19,18,26,8,13
26,19,7,4,26
11,8,11,8,4
18,26,14,5,26
18,8,11,21,4
17,26,2,0,20
6,7,19,26,19
7,4,26,1,20
1,1,11,4,18
26,19,7,0,19
26,5,11,0,18
7,4,3,26,0
13,3,26,15,0
18,18,4,3,26
8,13,26,14,20
17,26,6,11,0
18,18,4,18,26
14,20,17,26,2
7,0,8,17,18
26,1,4,8,13
6,26,7,8,18
26,15,0,19,4
13,19,18,26,4
12,1,17,0,2
4,3,26,0,13
3,26,2,0,17
4,18,18,4,3
26,20,18,26,17
0,19,7,4,17
26,19,7,0,13
26,18,20,1,12
8,19,19,4,3
26,19,14,26,1
4,26,18,0,19
26,20,15,14,13
26,0,13,3,26
19,7,4,17,4
26,22,0,18,26
19,7,0,19,26
11,20,23,20,17
8,14,20,18,26
0,5,19,4,17
26,3,8,13,13
4,17,26,0,19
12,14,18,15,7
4,17,4,26,22
7,4,13,26,19
7,14,20,6,7
19,26,17,14,0
12,18,26,6,17
0,2,4,5,20
11,11,24,26,5
17,4,4,26,14
5,26,19,7,4
26,19,17,0,12
12,4,11,18,26
14,5,26,15,17
4,2,8,18,8
14,13,26,0,13
3,26,7,4,26
15,20,19,26,8
19,26,19,14,26
20,18,26,8,13
26,19,7,8,18
26,22,0,24,26
12,0,17,10,8
13,6,26,19,7
4,26,15,14,8
13,19,18,26,22
8,19,7,26,0
26,11,4,0,13
26,5,14,17,4
5,8,13,6,4
17,26,0,18,26
22,4,26,18,0
19,26,0,13,3
26,11,0,25,8
11,24,26,0,3
12,8,17,4,3
26,7,8,18,26
4,0,17,13,4
18,19,13,4,18
18,26,14,21,4
17,26,19,7,8
18,26,13,4,22
26,15,0,17,0
3,14,23,26,0
18,26,22,4,26
19,7,14,20,6
7,19,26,8,19
26,0,13,3,26
7,8,18,26,5
4,2,20,13,3
8,19,24,26,24
14,20,26,12,20
18,19,26,5,14
11,11,14,22,26
12,4,26,2,0
17,4,5,20,11
11,24,26,8,26
18,7,0,11,11
26,7,0,21,4
26,19,14,26,2
14,13,19,17,14
21,4,17,19,26
14,13,4,26,14
17,26,19,22,14
26,8,3,4,0
18,26,19,7,0
19,26,0,17,4
26,0,11,12,14
18,19,26,20,13
8,21,4,17,18
0,11,11,24,26
0,2,2,4,15
19,4,3,26,19
7,4,26,6,4
14,12,4,19,17
24,26,5,14,17
26,8,13,18,19
0,13,2,4,26
19,7,4,24,26
19,0,20,6,7
19,26,24,14,20
26,0,19,26,18
2,7,14,14,11
26,8,18,26,5
14,20,13,3,4
3,26,14,13,26
0,26,12,8,18
2,14,13,2,4
15,19,8,14,13
26,8,18,26,13
14,19,26,19,7
0,19,26,17,0
19,7,4,17,26
0,26,11,0,17
6,4,26,19,7
8,13,6,26,19
14,26,4,23,15
4,2,19,26,20
18,26,19,14,26
1,4,6,8,13
26,20,15,14,13
26,18,0,8,3
26,5,8,11,1
24,26,0,13,26
0,17,6,20,12
4,13,19,0,19
8,21,4,26,15
4,17,18,14,13
26,22,8,19,7
26,17,4,3,26
7,0,8,17,26
8,26,3,14,26
13,14,19,26,12
4,0,13,26,19
14,26,0,18,10
26,24,14,20,26
19,14,26,0,2
2,4,15,19,26
0,13,24,19,7
8,13,6,26,22
8,19,7,14,20
19,26,17,4,0
18,14,13,0,1
11,4,26,6,17
14,20,13,3,26
5,14,17,26,8
19,26,24,14,20
26,22,8,11,11
26,18,14,14,13
26,0,3,12,8
19,26,0,18,26
12,20,2,7,26
0,18,26,8,26
13,4,4,3,26
5,17,14,12,26
24,14,20,26,24
14,20,26,10,13
14,22,26,14,5
26,2,14,20,17
18,4,26,19,7
0,19,26,0,26
12,0,19,7,4
12,0,19,8,2
0,11,26,11,8
13,4,26,0,26
11,8,13,4,26
14,5,26,19,7
8,2,10,13,4
18,18,26,13,8
11,26,7,0,18
26,13,14,26,17
4,0,11,26,4
23,8,18,19,4
13,2,4,26,19
7,4,24,26,19
0,20,6,7,19
26,24,14,20,26
19,7,0,19,26
13,4,8,19,7
4,17,26,7,0
18,26,0,26,12
0,19,7,4,12
0,19,8,2,0
11,26,15,11,0
13,4,26,19,7
4,18,4,26,19
7,8,13,6,18
26,0,17,4,26
12,4,17,4,26
0,1,18,19,17
0,2,19,8,14
13,18,26,19,7
0,19,26,8,18
26,0,11,11,26
17,8,6,7,19
26,18,0,8,3
26,19,7,4,26
15,18,24,2,7
14,11,14,6,8
18,19,26,13,14
17,26,7,0,21
8,13,6,26,14
13,11,24,26,11
4,13,6,19,7
26,1,17,4,0
3,19,7,26,0
13,3,26,19,7
8,2,10,13,4
18,18,26,2,0
13,26,0,26,2
20,1,4,26,7
0,21,4,26,0
26,17,4,0,11
26,4,23,8,18
19,4,13,2,4
26,19,7,4,17
4,26,8,26,14
1,9,4,2,19
26,18,0,8,3
26,5,8,11,1
24,26,14,5,26
2,14,20,17,18
4,26,0,26,18
14,11,8,3,26
1,14,3,24,26
12,0,24,26,4
23,8,18,19,26
0,11,11,26,17
4,0,11,26,19
7,8,13,6,18
26,18,14,26,12
14,18,19,26,15
4,14,15,11,4
26,19,7,8,13
10,26,1,20,19
26,22,0,8,19
26,0,26,12,14
12,4,13,19,26
2,0,13,26,0
13,26,8,13,18
19,0,13,19,0
13,4,14,20,18
26,2,20,1,4
26,4,23,8,18
19,26,3,14,13
26,19,26,5,14
11,11,14,22,26
24,14,20,26,18
0,8,3,26,5
8,11,1,24,26
2,0,13,26,0
26,2,20,1,4
26,19,7,0,19
26,3,14,4,18
26,13,14,19,26
11,0,18,19,26
5,14,17,26,0
13,24,26,19,8
12,4,26,0,19
26,0,11,11,26
7,0,21,4,26
0,26,17,4,0
11,26,4,23,8
18,19,4,13,2
4,26,5,8,11
1,24,26,1,4
2,0,12,4,26
15,4,13,18,8
21,4,26,2,11
4,0,17,11,24
26,19,7,4,26
19,8,12,4,26
19,17,0,21,4
11,11,4,17,26
15,17,14,2,4
4,3,4,3,26
0,13,24,26,17
4,0,11,26,1
14,3,24,26,12
20,18,19,26,7
0,21,4,26,4
23,19,4,13,18
8,14,13,26,8
13,26,5,14,20
17,26,3,8,17
4,2,19,8,14
13,18,26,8,19
26,12,20,18,19
26,7,0,21,4
26,11,4,13,6
19,7,26,1,17
4,0,3,19,7
26,19,7,8,2
10,13,4,18,18
26,0,13,3,26
3,20,17,0,19
8,14,13,26,1
20,19,26,19,7
17,14,20,6,7
26,0,26,13,0
19,20,17,0,11
26,8,13,5,8
17,12,8,19,24
26,14,5,26,19
7,4,26,5,11
4,18,7,26,22
7,8,2,7,26
8,26,22,8,11
11,26,4,23,15
11,0,8,13,26
19,14,26,24,14
20,26,8,13,26
0,26,12,14,12
4,13,19,26,22
4,26,8,13,2
11,8,13,4,26
19,14,26,14,21
4,17,11,14,14
10,26,19,7,8
18,26,5,0,2
19,26,19,7,4
17,4,26,0,17
4,26,17,4,0
11,11,24,26,5
14,20,17,26,3
8,12,4,13,18
8,14,13,18,26
19,7,17,4,4
26,22,7,8,2
7,26,22,4,26
2,0,11,11,26
19,7,4,26,19
7,17,4,4,26
15,11,0,13,4
18,26,14,5,26
18,15,0,2,4
26,0,13,3,26
0,26,5,14,20
17,19,7,26,19
8,12,4,26,19
7,4,17,4,26
8,18,26,7,14
22,4,21,4,17
26,0,26,19,4
13,3,4,13,2
24,26,19,14,26
3,17,0,22,26
0,13,26,20,13
17,4,0,11,26
3,8,18,19,8
13,2,19,8,14
13,26,1,4,19
22,4,4,13,26
19,7,4,26,5
14,17,12,4,17
26,19,7,17,4
4,26,3,8,12
4,13,18,8,14
13,18,26,0,13
3,26,19,7,4
26,11,0,19,19
4,17,26,1,4
2,0,20,18,4
26,8,19,26,7
0,15,15,4,13
18,26,19,7,0
19,26,14,20,17
26,2,14,13,18
2,8,14,20,18
13,4,18,18,26
12,14,21,4,18
26,8,13,19,4
17,12,8,19,19
4,13,19,11,24
26,8,13,26,14
13,4,26,3,8
17,4,2,19,8
14,13,26,0,11
14,13,6,26,19
7,4,26,11,0
19,19,4,17,26
5,17,14,12,26
19,7,4,26,1
4,6,8,13,13
8,13,6,26,19
14,26,19,7,4
26,4,13,3,26
14,5,26,14,20
17,26,11,8,21
4,18,26,19,7
0,19,26,18,0
8,3,26,0,26
21,4,17,24,26
24,14,20,13,6
26,12,0,13,26
12,0,10,8,13
6,26,18,15,0
18,12,14,3,8
2,26,4,5,5
14,17,19,18,26
19,14,26,17,4
11,8,6,7,19
26,7,8,18,26
2,8,6,0,17
26,14,21,4,17
26,19,7,4,26
11,0,12,15,26
19,7,0,19,26
21,4,17,24,26
2,11,4,0,17
26,8,13,3,4
4,3,26,13,14
22,26,8,19,26
8,18,26,21,4
17,24,26,17,4
12,0,17,10,0
1,11,4,26,19
7,0,19,26,19
7,8,18,26,8
18,26,18,14,26
4,23,19,4,13
18,8,21,4,11
24,26,14,21,4
17,11,14,14,10
4,3,26,2,14
13,19,8,13,20
4,3,26,19,7
4,26,19,8,12
4,26,19,17,0
21,4,11,11,4
17,26,22,8,19
7,26,0,26,18
11,8,6,7,19
26,0,2,2,4
18,18,8,14,13
26,14,5,26,2
7,4,4,17,5
20,11,13,4,18
18,26,17,4,0
11,11,24,26,19
7,8,18,26,8
18,26,22,7,0
19,26,8,18,26
12,4,0,13,19
26,1,24,26,19
7,4,26,5,14
20,17,19,7,26
3,8,12,4,13
18,8,14,13,26
19,7,14,20,6
7,26,18,14,12
4,26,15,4,14
15,11,4,26,22
7,14,26,19,0
11,10,26,0,1
14,20,19,26,19
7,4,26,5,14
20,17,19,7,26
3,8,12,4,13
18,8,14,13,26
3,14,26,13,14
19,26,10,13,14
22,26,19,7,4
24,26,12,4,0
13,26,8,19,26
8,19,26,8,18
26,14,13,11,24
26,0,13,14,19
7,4,17,26,22
0,24,26,14,5
26,11,14,14,10
8,13,6,26,0
19,26,19,8,12
4,26,19,7,4
17,4,26,8,18
26,13,14,26,3
8,5,5,4,17
4,13,2,4,26
1,4,19,22,4
4,13,26,19,8
12,4,26,0,13
3,26,0,13,24
26,14,5,26,19
7,4,26,19,7
17,4,4,26,3
